,하드 포뮬라_0_x,하드 포뮬라_1_x,브로우 위즈_0_x,브로우 위즈_1_x,하드 스퀘어 아이브로우 펜슬_0_x,하드 스퀘어 아이브로우 펜슬_1_x,아이돌 브로우 파우더 케익_0_x,아이돌 브로우 파우더 케익_1_x,프리사이슬리 마이 브로우 펜슬_0_x,프리사이슬리 마이 브로우 펜슬_1_x,아이브로우 쿠션 카라_0_x,아이브로우 쿠션 카라_1_x,킬 브로우 오토 하드 브로우 펜슬_0_x,킬 브로우 오토 하드 브로우 펜슬_1_x,헤비로테이션 컬러링 아이브로우_0_x,헤비로테이션 컬러링 아이브로우_1_x,구프 프루프 브로우 펜슬_0_x,구프 프루프 브로우 펜슬_1_x,딥브로우 포마드_0_x,딥브로우 포마드_1_x,아이브로우 오토 펜슬_0_x,아이브로우 오토 펜슬_1_x,퍼펙틀리 디파인드 롱웨어 브라우 펜슬_0_x,퍼펙틀리 디파인드 롱웨어 브라우 펜슬_1_x,스머지프루프 우드 브로우_0_x,스머지프루프 우드 브로우_1_x,하드텍스처 아이브로우_0_x,하드텍스처 아이브로우_1_x,내추럴 브라우 쉐이퍼_0_x,내추럴 브라우 쉐이퍼_1_x,프로 롱웨어 워터프루프 브로우 세트_0_x,프로 롱웨어 워터프루프 브로우 세트_1_x,헤비로테이션 파우더 아이브로우    D 노즈섀도우_0_x,헤비로테이션 파우더 아이브로우    D 노즈섀도우_1_x,초코 아이브로우 파우더케익_0_x,초코 아이브로우 파우더케익_1_x,카 브로우_0_x,카 브로우_1_x,킬브로우    mm 슬림테크 하드펜슬_0_x,킬브로우    mm 슬림테크 하드펜슬_1_x,매트 아이 컬러_0_x,매트 아이 컬러_1_x,아이섀도우_0_x,아이섀도우_1_x,피스 매칭 섀도우  매트 _0_x,피스 매칭 섀도우  매트 _1_x,모던 섀도우 이탈프리즘  쉬머 _0_x,모던 섀도우 이탈프리즘  쉬머 _1_x,프리즘 에어 섀도우 스파클링_0_x,프리즘 에어 섀도우 스파클링_1_x,하드 포뮬라_0_y,하드 포뮬라_1_y,브로우 위즈_0_y,브로우 위즈_1_y,하드 스퀘어 아이브로우 펜슬_0_y,하드 스퀘어 아이브로우 펜슬_1_y,아이돌 브로우 파우더 케익_0_y,아이돌 브로우 파우더 케익_1_y,프리사이슬리 마이 브로우 펜슬_0_y,프리사이슬리 마이 브로우 펜슬_1_y,아이브로우 쿠션 카라_0_y,아이브로우 쿠션 카라_1_y,킬 브로우 오토 하드 브로우 펜슬_0_y,킬 브로우 오토 하드 브로우 펜슬_1_y,헤비로테이션 컬러링 아이브로우_0_y,헤비로테이션 컬러링 아이브로우_1_y,구프 프루프 브로우 펜슬_0_y,구프 프루프 브로우 펜슬_1_y,딥브로우 포마드_0_y,딥브로우 포마드_1_y,아이브로우 오토 펜슬_0_y,아이브로우 오토 펜슬_1_y,퍼펙틀리 디파인드 롱웨어 브라우 펜슬_0_y,퍼펙틀리 디파인드 롱웨어 브라우 펜슬_1_y,스머지프루프 우드 브로우_0_y,스머지프루프 우드 브로우_1_y,하드텍스처 아이브로우_0_y,하드텍스처 아이브로우_1_y,내추럴 브라우 쉐이퍼_0_y,내추럴 브라우 쉐이퍼_1_y,프로 롱웨어 워터프루프 브로우 세트_0_y,프로 롱웨어 워터프루프 브로우 세트_1_y,헤비로테이션 파우더 아이브로우    D 노즈섀도우_0_y,헤비로테이션 파우더 아이브로우    D 노즈섀도우_1_y,초코 아이브로우 파우더케익_0_y,초코 아이브로우 파우더케익_1_y,카 브로우_0_y,카 브로우_1_y,킬브로우    mm 슬림테크 하드펜슬_0_y,킬브로우    mm 슬림테크 하드펜슬_1_y,매트 아이 컬러_0_y,매트 아이 컬러_1_y,아이섀도우_0_y,아이섀도우_1_y,피스 매칭 섀도우  매트 _0_y,피스 매칭 섀도우  매트 _1_y,모던 섀도우 이탈프리즘  쉬머 _0_y,모던 섀도우 이탈프리즘  쉬머 _1_y,프리즘 에어 섀도우 스파클링_0_y,프리즘 에어 섀도우 스파클링_1_y,문더스트 아이섀도우_0,문더스트 아이섀도우_1,럭스 아이섀도우_0,럭스 아이섀도우_1,피스 매칭   구 섀도우 팔레트  머추어 피치 _0,피스 매칭   구 섀도우 팔레트  머추어 피치 _1,아이섀도우 시퀸_0,아이섀도우 시퀸_1,새틴 아이컬러_0,새틴 아이컬러_1,룩 앳 마이 아이즈  카페 _0,룩 앳 마이 아이즈  카페 _1,피스 매칭 섀도우 쉬머_0,피스 매칭 섀도우 쉬머_1,타르트레트  인 블룸 클레이 팔레트_0,타르트레트  인 블룸 클레이 팔레트_1,룩 앳 마이 아이즈  메이플로드   카페 _0,룩 앳 마이 아이즈  메이플로드   카페 _1,스파클 아이섀도우_0,스파클 아이섀도우_1,베러 댄 아이즈_0,베러 댄 아이즈_1,매그니피센트 메탈 글리터   글로우 리퀴드 아이섀도우_0,매그니피센트 메탈 글리터   글로우 리퀴드 아이섀도우_1,피스 매칭   구 섀도우 팔레트  어메이징 나이트 _0,피스 매칭   구 섀도우 팔레트  어메이징 나이트 _1,프로 싱글 섀도우_0,프로 싱글 섀도우_1,모던 섀도우 이탈프리즘  매트 _0,모던 섀도우 이탈프리즘  매트 _1
0,57.65765,27.77777,0.0,0.0,0.0,0.0,2.92397,0.0,0.0,0.0,0.0,0.0,50.0,38.88888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,83.51648,69.50672,0.0,0.0,0.0,0.0,0.0,0.0,57.65765,27.77777,0.0,0.0,0.0,0.0,2.92397,0.0,0.0,0.0,0.0,0.0,50.0,38.88888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,83.51648,69.50672,0.0,0.0,0.0,0.0,0.0,0.0,27.27272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.5862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,56.75675,64.81481,0.0,0.0,0.0,0.0,4.67836,0.0,0.0,0.0,0.0,0.0,66.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.48351,69.95515,0.0,0.0,0.0,0.0,0.0,0.0,56.75675,64.81481,0.0,0.0,0.0,0.0,4.67836,0.0,0.0,0.0,0.0,0.0,66.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.48351,69.95515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.55555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.24137,33.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,55.85585,53.7037,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,11.53846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.70329,69.05829,0.0,0.0,0.0,0.0,0.0,0.0,55.85585,53.7037,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,11.53846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.70329,69.05829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.68965,33.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,53.15315,40.74074,0.0,0.0,0.0,0.0,55.55555,0.0,0.0,0.0,9.61538,0.0,44.44444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.43956,73.5426,0.0,0.0,0.0,0.0,0.0,0.0,53.15315,40.74074,0.0,0.0,0.0,0.0,55.55555,0.0,0.0,0.0,9.61538,0.0,44.44444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.43956,73.5426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.24137,29.166659999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,43.24324,27.77777,0.0,0.0,0.0,0.0,33.91812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.04395,65.91928,0.0,0.0,0.0,0.0,0.0,0.0,43.24324,27.77777,0.0,0.0,0.0,0.0,33.91812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.04395,65.91928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.68965,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,46.84684,27.77777,0.0,0.0,0.0,0.0,46.19883,0.0,0.0,0.0,44.23076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,80.87912,76.90581999999999,0.0,0.0,0.0,0.0,0.0,0.0,46.84684,27.77777,0.0,0.0,0.0,0.0,46.19883,0.0,0.0,0.0,44.23076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,80.87912,76.90581999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.5862,66.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,65.76576,22.22222,0.0,0.0,0.0,0.0,36.8421,0.0,0.0,0.0,80.76923000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.63736,75.1121,0.0,0.0,0.0,0.0,0.0,0.0,65.76576,22.22222,0.0,0.0,0.0,0.0,36.8421,0.0,0.0,0.0,80.76923000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.63736,75.1121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,63.06306,29.629620000000003,0.0,83.33333,0.0,0.0,28.654970000000002,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.32967,68.60986,0.0,0.0,0.0,0.0,0.0,0.0,63.06306,29.629620000000003,0.0,83.33333,0.0,0.0,28.654970000000002,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.32967,68.60986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,100.0,85.18518,0.0,0.0,0.0,0.0,45.02923,0.0,0.0,0.0,92.30769000000001,0.0,50.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,78.68131,76.45739,0.0,0.0,0.0,0.0,0.0,0.0,100.0,85.18518,0.0,0.0,0.0,0.0,45.02923,0.0,0.0,0.0,92.30769000000001,0.0,50.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,78.68131,76.45739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.48275,41.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,99.09909,24.074070000000003,0.0,0.0,0.0,0.0,34.50292,0.0,0.0,0.0,67.30769000000001,0.0,38.88888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,70.76923000000001,72.1973,0.0,0.0,0.0,0.0,0.0,0.0,99.09909,24.074070000000003,0.0,0.0,0.0,0.0,34.50292,0.0,0.0,0.0,67.30769000000001,0.0,38.88888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,70.76923000000001,72.1973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.24137,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
