,브랜드,상품명
1520,휴족시간,지압자극 쿨링시트
1521,올리브영 (OLIVE YOUNG),휴족휴면
1522,휴족시간,쿨링시트
1523,아시리라 (ASHIRIRA),수액시트
1524,티피오 (T.P.O),종아리 알패치
1525,멕리듬 (MegRhythm),스팀 아이마스크
1526,메디테라피 (meditherapy),더마 릴렉스 힐링 패치
1527,일리윤 (ILLIYOON),컴포트 레스트 아이워머
1528,스팀베이스 (STEAMBASE),데일리 아이마스크
1529,하루온,아이워머
1530,슬로우랩 (slowlab),꿀잠안대
1531,일동제약 (ILDONG),휴식시간
1532,씨엔에스글로벌 (CNS corp),베어 스팀 아이마스크
1533,누뉴 (NUNYU),수면 온열안대
1534,아이러버,쿨링풋
1535,아이스펌킨 (Ice Pumpkin),호박 종아리패치
1536,에뛰드 (ETUDE),히팅 아이 마스크
1537,파머메이커 (Farmer maker),데이리어 링거 오리발 팩
1538,어퓨 (Apieu),스팀 아이 마스크
1539,메디힐리 (Medi Heally),아이온팩
1540,덴티스테 (DENTISTE),후레쉬 브레스 스프레이
1541,테라브레스 (Thera Breath),오랄린스 마일드 민트
1542,가그린 (garglin),제로
1543,덴티스테 (DENTISTE),플러스 화이트 치약
1544,가그린 (garglin),오리지널
1545,리스테린 (LISTERINE),내추럴 그린티 마일드
1546,덴티스테 (DENTISTE),센서티브 케어
1547,암웨이 (Amway),글리스터 치약
1548,오랄비 (Oral B),치실 왁스 민트
1549,2080,시그니처 토탈블루 치약
1550,테라브레스 (Thera Breath),오랄린스 아이시 민트
1551,애터미 (atomy),치약 플러스
1552,페리오 (PERIOE),46cm 스프레이
1553,아조나 (AJONA),치약
1554,닥터폴스 (Dr.Pauhls),덴탈튜브 라임만다린 치약
1555,닥터폴스 (Dr.Pauhls),덴탈튜브 패츌리머스크 치약
1556,페리오 (PERIOE),히말라야 핑크솔트 담은치약 [아이스 카밍 민트]
1557,베러데이 (betterday),칸디데 치약
1558,2080,동의청은차고은진 치약
